num_tree | num_queries | time_taken(s)
 32 |  15872 |  0.118464
 32 |  15360 |  0.184576
 32 |  14848 |  0.067904
 32 |  14336 |  0.118144
 32 |  13824 |  0.069632
 32 |  13312 |  0.102080
 32 |  12800 |  0.072800
 32 |  12288 |  0.083968
 32 |  11776 |  0.076800
 32 |  11264 |  0.134464
 32 |  10752 |  0.112960
 32 |  10240 |  0.088256
 32 |  9728 |  0.113664
 32 |  9216 |  0.109504
 32 |  8704 |  0.139392
 32 |  8192 |  0.102400
 32 |  7680 |  0.076672
 32 |  7168 |  0.073152
 32 |  6656 |  0.077824
 32 |  6144 |  0.097248
 32 |  5632 |  0.061472
 32 |  5120 |  0.088064
 32 |  4608 |  0.080448
 32 |  4096 |  0.068256
 32 |  3584 |  0.070464
 32 |  3072 |  0.116736
 32 |  2560 |  0.063584
 32 |  2048 |  0.214016
 32 |  1536 |  0.071872
 32 |  1280 |  0.093184
 32 |  1024 |  0.169600
 32 |  768 |  0.063488
 32 |  640 |  0.077824
 32 |  512 |  0.062304
 32 |  384 |  0.117600
 32 |  320 |  0.078720
 32 |  256 |  0.070784
 32 |  192 |  0.156000
 32 |  160 |  0.103456
 32 |  128 |  0.116000
 32 |  96 |  0.118016
 32 |  80 |  0.106496
 32 |  64 |  0.108544
 32 |  48 |  0.093184
 32 |  40 |  0.104608
 32 |  32 |  0.135168
 32 |  24 |  0.105536
 32 |  20 |  0.124960
 32 |  16 |  0.109600
 32 |  12 |  0.109568
 32 |  10 |  0.066912
 32 |  8 |  0.121856
 32 |  6 |  0.097312
 32 |  5 |  0.073792
 32 |  4 |  0.091392
