num_tree | num_queries | time_taken(s)
 32 |  15872 |  0.107520
 32 |  15360 |  0.095008
 32 |  14848 |  0.110592
 32 |  14336 |  0.078016
 32 |  13824 |  0.065536
 32 |  13312 |  0.109536
 32 |  12800 |  0.192672
 32 |  12288 |  0.097376
 32 |  11776 |  0.066560
 32 |  11264 |  0.104448
 32 |  10752 |  0.091136
 32 |  10240 |  0.115744
 32 |  9728 |  0.086016
 32 |  9216 |  0.086624
 32 |  8704 |  0.090432
 32 |  8192 |  0.104224
 32 |  7680 |  0.086176
 32 |  7168 |  0.084992
 32 |  6656 |  0.063488
 32 |  6144 |  0.114912
 32 |  5632 |  0.081920
 32 |  5120 |  0.119808
 32 |  4608 |  0.067584
 32 |  4096 |  0.130720
 32 |  3584 |  0.132384
 32 |  3072 |  0.064512
 32 |  2560 |  0.074560
 32 |  2048 |  0.081376
 32 |  1536 |  0.104416
 32 |  1280 |  0.084992
 32 |  1024 |  0.120832
 32 |  768 |  0.101376
 32 |  640 |  0.142464
 32 |  512 |  0.141312
 32 |  384 |  0.105120
 32 |  320 |  0.138208
 32 |  256 |  0.194656
 32 |  192 |  0.124000
 32 |  160 |  0.099328
 32 |  128 |  0.171008
 32 |  96 |  0.114080
 32 |  80 |  0.134816
 32 |  64 |  0.108576
 32 |  48 |  0.121856
 32 |  40 |  0.099200
 32 |  32 |  0.102496
 32 |  24 |  0.164864
 32 |  20 |  0.079456
 32 |  16 |  0.094336
 32 |  12 |  0.122880
 32 |  10 |  0.086880
 32 |  8 |  0.144384
 32 |  6 |  0.105472
 32 |  5 |  0.176736
 32 |  4 |  0.110592
