num_tree | num_queries | time_taken(s)
 32 |  15872 |  0.122880
 32 |  15360 |  0.075232
 32 |  14848 |  0.082848
 32 |  14336 |  0.093568
 32 |  13824 |  0.129408
 32 |  13312 |  0.101472
 32 |  12800 |  0.062464
 32 |  12288 |  0.071680
 32 |  11776 |  0.089088
 32 |  11264 |  0.067776
 32 |  10752 |  0.096320
 32 |  10240 |  0.066848
 32 |  9728 |  0.105056
 32 |  9216 |  0.069632
 32 |  8704 |  0.069920
 32 |  8192 |  0.139328
 32 |  7680 |  0.114496
 32 |  7168 |  0.064896
 32 |  6656 |  0.093216
 32 |  6144 |  0.103680
 32 |  5632 |  0.079872
 32 |  5120 |  0.088384
 32 |  4608 |  0.122720
 32 |  4096 |  0.071712
 32 |  3584 |  0.096256
 32 |  3072 |  0.116096
 32 |  2560 |  0.062464
 32 |  2048 |  0.144384
 32 |  1536 |  0.068608
 32 |  1280 |  0.063488
 32 |  1024 |  0.120992
 32 |  768 |  0.093728
 32 |  640 |  0.153600
 32 |  512 |  0.131200
 32 |  384 |  0.145152
 32 |  320 |  0.138272
 32 |  256 |  0.133632
 32 |  192 |  0.153728
 32 |  160 |  0.125728
 32 |  128 |  0.127872
 32 |  96 |  0.101152
 32 |  80 |  0.120832
 32 |  64 |  0.080896
 32 |  48 |  0.136192
 32 |  40 |  0.104288
 32 |  32 |  0.152192
 32 |  24 |  0.105344
 32 |  20 |  0.101152
 32 |  16 |  0.130816
 32 |  12 |  0.109472
 32 |  10 |  0.136192
 32 |  8 |  0.121056
 32 |  6 |  0.101376
 32 |  5 |  0.120352
 32 |  4 |  0.059776
