num_tree | num_queries | time_taken(s)
 32 |  15872 |  0.071680
 32 |  15360 |  0.081120
 32 |  14848 |  0.075072
 32 |  14336 |  0.070592
 32 |  13824 |  0.126752
 32 |  13312 |  0.063328
 32 |  12800 |  0.092672
 32 |  12288 |  0.084256
 32 |  11776 |  0.080224
 32 |  11264 |  0.071680
 32 |  10752 |  0.087840
 32 |  10240 |  0.069632
 32 |  9728 |  0.075648
 32 |  9216 |  0.082272
 32 |  8704 |  0.084960
 32 |  8192 |  0.085248
 32 |  7680 |  0.096736
 32 |  7168 |  0.092352
 32 |  6656 |  0.090112
 32 |  6144 |  0.082944
 32 |  5632 |  0.081120
 32 |  5120 |  0.077440
 32 |  4608 |  0.087808
 32 |  4096 |  0.084992
 32 |  3584 |  0.064256
 32 |  3072 |  0.074688
 32 |  2560 |  0.110880
 32 |  2048 |  0.067264
 32 |  1536 |  0.077824
 32 |  1280 |  0.107840
 32 |  1024 |  0.165216
 32 |  768 |  0.076576
 32 |  640 |  0.102688
 32 |  512 |  0.100352
 32 |  384 |  0.118784
 32 |  320 |  0.133728
 32 |  256 |  0.155008
 32 |  192 |  0.092224
 32 |  160 |  0.113344
 32 |  128 |  0.114624
 32 |  96 |  0.149696
 32 |  80 |  0.079296
 32 |  64 |  0.102944
 32 |  48 |  0.165888
 32 |  40 |  0.103808
 32 |  32 |  0.099328
 32 |  24 |  0.092864
 32 |  20 |  0.096640
 32 |  16 |  0.102144
 32 |  12 |  0.063488
 32 |  10 |  0.141312
 32 |  8 |  0.115520
 32 |  6 |  0.134784
 32 |  5 |  0.175072
 32 |  4 |  0.059392
