num_tree | num_queries | time_taken
 128 |  3840 |  0.075872
 128 |  3584 |  0.075072
 128 |  3328 |  0.116736
 128 |  3072 |  0.115072
 128 |  2816 |  0.078848
 128 |  2560 |  0.091136
 128 |  2304 |  0.098592
 128 |  2048 |  0.067488
 128 |  1792 |  0.132704
 128 |  1536 |  0.117024
 128 |  1280 |  0.079488
 128 |  1024 |  0.071680
 128 |  768 |  0.074752
 128 |  512 |  0.069600
 128 |  256 |  0.086016
 64 |  4096 |  0.068512
 64 |  3840 |  0.117248
 64 |  3584 |  0.082912
 64 |  3328 |  0.094176
 64 |  3072 |  0.068608
 64 |  2816 |  0.102400
 64 |  2560 |  0.072736
 64 |  2304 |  0.070848
 64 |  2048 |  0.105024
 64 |  1792 |  0.082944
 64 |  1536 |  0.066560
 64 |  1280 |  0.067296
 64 |  1024 |  0.064512
 64 |  768 |  0.105504
 64 |  512 |  0.078848
 64 |  256 |  0.143360
 32 |  4096 |  0.067168
 32 |  3840 |  0.070752
 32 |  3584 |  0.071232
 32 |  3328 |  0.080064
 32 |  3072 |  0.069632
 32 |  2816 |  0.104608
 32 |  2560 |  0.080384
 32 |  2304 |  0.129120
 32 |  2048 |  0.130944
 32 |  1792 |  0.116736
 32 |  1536 |  0.068832
 32 |  1280 |  0.080896
 32 |  1024 |  0.087936
 32 |  768 |  0.097280
 32 |  512 |  0.103424
 32 |  256 |  0.068256
 16 |  4096 |  0.094208
 16 |  3840 |  0.063488
 16 |  3584 |  0.111648
 16 |  3328 |  0.106720
 16 |  3072 |  0.104448
 16 |  2816 |  0.086016
 16 |  2560 |  0.071936
 16 |  2304 |  0.068512
 16 |  2048 |  0.072128
 16 |  1792 |  0.066784
 16 |  1536 |  0.067456
 16 |  1280 |  0.064512
 16 |  1024 |  0.073728
 16 |  768 |  0.070848
 16 |  512 |  0.094112
 16 |  256 |  0.072704
 8 |  4096 |  0.067968
 8 |  3840 |  0.078112
 8 |  3584 |  0.069024
 8 |  3328 |  0.080384
 8 |  3072 |  0.074496
 8 |  2816 |  0.086656
 8 |  2560 |  0.072480
 8 |  2304 |  0.089088
 8 |  2048 |  0.131072
 8 |  1792 |  0.118784
 8 |  1536 |  0.137152
 8 |  1280 |  0.140480
 8 |  1024 |  0.131008
 8 |  768 |  0.126784
 8 |  512 |  0.120032
 8 |  256 |  0.116352
 4 |  4096 |  0.083872
 4 |  3840 |  0.128736
 4 |  3584 |  0.132064
 4 |  3328 |  0.073408
 4 |  3072 |  0.119232
 4 |  2816 |  0.127232
 4 |  2560 |  0.108608
 4 |  2304 |  0.088736
 4 |  2048 |  0.182272
 4 |  1792 |  0.107136
 4 |  1536 |  0.111648
 4 |  1280 |  0.116448
 4 |  1024 |  0.174464
 4 |  768 |  0.120832
 4 |  512 |  0.092448
 4 |  256 |  0.098688
 2 |  4096 |  0.068896
 2 |  3840 |  0.075744
 2 |  3584 |  0.119968
 2 |  3328 |  0.068960
 2 |  3072 |  0.067648
 2 |  2816 |  0.063680
 2 |  2560 |  0.081344
 2 |  2304 |  0.074848
 2 |  2048 |  0.159744
 2 |  1792 |  0.138240
 2 |  1536 |  0.069728
 2 |  1280 |  0.071872
 2 |  1024 |  0.110816
 2 |  768 |  0.141024
 2 |  512 |  0.097024
 2 |  256 |  0.108544
