num_tree | num_queries | time_taken
 256 |  3840 |  0.098816
 256 |  3584 |  0.078144
 256 |  3328 |  0.098304
 256 |  3072 |  0.091520
 256 |  2816 |  0.069728
 256 |  2560 |  0.084672
 256 |  2304 |  0.082208
 256 |  2048 |  0.089216
 256 |  1792 |  0.146560
 256 |  1536 |  0.116512
 256 |  1280 |  0.073728
 256 |  1024 |  0.101376
 256 |  768 |  0.093184
 256 |  512 |  0.093600
 256 |  256 |  0.113568
 128 |  4096 |  0.067584
 128 |  3840 |  0.076800
 128 |  3584 |  0.073728
 128 |  3328 |  0.105568
 128 |  3072 |  0.130048
 128 |  2816 |  0.079872
 128 |  2560 |  0.059232
 128 |  2304 |  0.190560
 128 |  2048 |  0.083808
 128 |  1792 |  0.062464
 128 |  1536 |  0.118528
 128 |  1280 |  0.083456
 128 |  1024 |  0.073728
 128 |  768 |  0.209920
 128 |  512 |  0.113664
 128 |  256 |  0.111616
 64 |  4096 |  0.073728
 64 |  3840 |  0.072256
 64 |  3584 |  0.068800
 64 |  3328 |  0.117440
 64 |  3072 |  0.067968
 64 |  2816 |  0.070624
 64 |  2560 |  0.062464
 64 |  2304 |  0.075904
